时间,客运量当期值(万人),客运量累计值(万人),客运量同比增长(%),客运量累计增长(%),铁路客运量当期值(万人),铁路客运量累计值(万人),铁路客运量同比增长(%),铁路客运量累计增长(%),公路客运量当期值(万人),公路客运量累计值(万人),公路客运量同比增长(%),公路客运量累计增长(%),水运客运量当期值(万人),水运客运量累计值(万人),水运客运量同比增长(%),水运客运量累计增长(%),民航客运量当期值(万人),民航客运量累计值(万人),民航客运量同比增长(%),民航客运量累计增长(%)
2018年3月,153760,452951,2,-5.4,27612,78257,22,7.3,118811,354072,-2.4,-8.5,2197,5992,6.8,-2.2,5140,14630,15.9,11.6
2018年4月,147988,600940,-2.5,-4.7,28900,107157,9,7.8,111583,465655,-5.9,-7.8,2431,8423,2.7,-0.9,5074,19705,15.3,12.5
2018年5月,145737,746679,-5.9,-4.9,26827,133984,1.6,6.5,111376,577032,-8.2,-7.9,2521,10944,-2.3,-1.2,5013,24719,11.4,12.3
2018年6月,144472,891152,-1.9,-4.5,27834,161818,15.6,8,109273,686305,-6.1,-7.6,2427,13372,-2.2,-1.4,4938,29657,12.8,12.4
2018年7月,155055,1046207,-2.8,-4.2,32276,194094,9.9,8.3,114868,801173,-6.3,-7.5,2533,15905,-3.6,-1.7,5378,35035,10.6,12.1
2018年8月,159663,1205869,-0.6,-3.8,34340,228434,11.9,8.8,116609,917781,-4.3,-7.1,3057,18962,0.5,-1.4,5657,40692,12,12.1
2018年9月,150435,1356304,-0.6,-3.4,28253,256687,13.5,9.3,114700,1032481,-3.9,-6.7,2453,21415,2.7,-0.9,5029,45721,7.9,11.6
2018年10月,159886,1516192,-0.9,-3.2,30467,287153,10.3,9.4,121296,1153778,-3.9,-6.4,2715,24131,2,-0.6,5408,51129,10.7,11.5
2018年11月,138616,1654806,-3.2,-3.2,25177,312331,10.9,9.5,106341,1260118,-6.5,-6.4,2092,26223,-1.4,-0.7,5006,56135,7.7,11.2
2018年12月,,1791982,,-3.1,25164,337495,8.4,9.4,,1365162,,-6.3,,28154,,-0.5,5018,61171,7.5,10.9
2019年1月,141698,141698,0.9,0.9,28342,28342,15.4,15.4,106502,106502,-2.9,-2.9,1513,1513,-4.8,-4.8,5341,5341,14.9,14.9
2019年2月,158843,300541,0.1,0.4,29112,57454,11.6,13.4,122062,228564,-2.8,-2.8,2287,3800,3.7,0.1,5383,10724,11.1,12.9
2019年3月,143032,443574,-7,-2.1,27860,85314,0.9,9,107737,336301,-9.3,-5,2085,5885,-5.1,-1.8,5350,16074,4,9.8
2019年4月,143977,587551,-2.7,-2.2,30536,115850,5.7,8.1,105820,442121,-5.2,-5.1,2308,8193,-5.1,-2.7,5312,21386,4.7,8.5
2019年5月,145481,733032,-0.2,-1.8,30801,146651,14.8,9.5,106669,548790,-4.2,-4.9,2561,10754,1.6,-1.7,5451,26837,8.7,8.5
2019年6月,142289,875321,-1.5,-1.8,30735,177386,10.4,9.6,103883,652673,-4.9,-4.9,2329,13084,-4,-2.2,5341,32179,8.2,8.5
2019年7月,153968,1029289,-0.7,-1.6,35570,212956,10.2,9.7,109953,762626,-4.3,-4.8,2514,15598,-0.7,-1.9,5930,38109,10.2,8.7
2019年8月,157821,1187109,-1.2,-1.6,37884,250840,10.3,9.8,110843,873469,-4.9,-4.8,2970,18567,-2.9,-2.1,6124,44233,8.2,8.7
2019年9月,146875,1333985,-2.4,-1.6,29873,280713,5.7,9.4,109178,982647,-4.8,-4.8,2348,20916,-4.3,-2.3,5475,49708,8.9,8.7
2019年10月,155616,1489601,-2.7,-1.8,31903,312616,4.7,8.9,115364,1098012,-4.9,-4.8,2651,23567,-2.4,-2.3,5698,55407,5.3,8.3
2019年11月,136363,1625964,-1.6,-1.7,27080,339696,7.6,8.8,101962,1199973,-4.1,-4.8,2016,25583,-3.6,-2.4,5306,60712,6,8.1
2019年12月,134466,1760435,-3.3,-1.9,26306,366002,4.5,8.4,101200,1301173,-5.5,-4.8,1684,27267,-4.2,-2.6,5276,65993,5.1,7.9
2020年1月,127415,127415,-10.1,-10.1,27126,27126,-4.3,-4.3,93839,93839,-11.9,-11.9,1390,1390,-7.1,-7.1,5061,5061,-5.3,-5.3
2020年2月,18645,146060,-88.3,-51.4,3723,30849,-87.2,-46.3,13792,107630,-88.7,-52.9,297,1686,-87.2,-55.7,834,5895,-84.5,-45
2020年3月,38573,184633,-73,-58.4,7495,38344,-73.1,-55.1,29007,136637,-73.1,-59.4,557,2243,-72.3,-61.4,1515,7409,-71.7,-53.9
2020年4月,57320,241953,-60.2,-58.8,11160,49504,-63.5,-57.3,43603,180240,-58.8,-59.2,886,3129,-61.8,-61.5,1671,9081,-68.5,-57.5
2020年5月,73748,315701,-49.3,-56.9,15675,65179,-49.1,-55.6,54234,234474,-49.2,-57.3,1255,4384,-51,-59,2583,11664,-52.6,-56.5
2020年6月,80051,395751,-43.7,-54.8,16589,81768,-46,-53.9,59140,293613,-43.1,-55,1248,5632,-46,-56.7,3074,14738,-42.4,-54.2
2020年7月,89292,485043,-42,-52.9,20737,102505,-41.7,-51.9,63246,356859,-42.5,-53.2,1399,7031,-45.9,-54.9,3910,18648,-34.1,-51.1
2020年8月,98214,583258,-37.8,-50.9,24864,127369,-34.4,-49.2,66934,423793,-39.6,-51.5,1799,8830,-41.2,-52.6,4617,23265,-24.6,-47.4
